UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE
153366,R,26752,A,,R,4984,G,892,G,208,G,892,G,208,A,,2
153375,R,42359,A,,R,6852,G,1412,G,286,G,1412,G,286,A,,2
153384,R,53715,A,,A,,G,1791,A,,R,1730,A,,A,,2
153427,R,2315,R,1836,A,,G,79,A,,G,79,A,,A,,3
153445,R,87838,A,,A,,G,2928,A,,G,2928,A,,A,,2
153463,A,,R,31876,A,,G,35,A,,R,32,A,,A,,1
153472,R,71319,A,,A,,G,2377,A,,G,2377,A,,A,,2
153524,R,103194,A,,A,,G,3440,A,,G,3440,A,,A,,2
153533,R,41374,A,,A,,G,1379,A,,G,1379,A,,A,,2
153542,R,808,A,,A,,G,27,A,,R,16,A,,A,,2
153597,A,,R,85520,A,,G,95,A,,G,95,A,,A,,1
153603,R,735092,A,,R,71112,G,24503,G,2963,G,24503,G,2963,R,779,2
153630,R,122758,A,,A,,G,4092,A,,G,4092,A,,A,,2
153658,R,635718,A,,R,108232,G,21191,G,4510,G,21191,R,6012,R,1854,2
153737,R,231150,A,,A,,G,7705,A,,G,7705,A,,A,,2
153746,A,,R,45906,A,,G,51,A,,G,51,A,,A,,1
153764,A,,R,124917,A,,G,139,A,,G,139,A,,A,,1
153773,A,,R,85130,A,,G,95,A,,G,95,A,,A,,1
153782,A,,R,20330,A,,G,23,A,,G,23,A,,A,,1
153825,R,31682,A,,R,1741,G,1056,G,73,G,1056,G,73,A,,2
153834,R,48554,A,,A,,G,1618,A,,R,1466,A,,A,,2
153861,R,22400,A,,R,40189,G,747,G,1675,G,747,G,1675,A,,2
153922,R,34442,A,,A,,G,1148,A,,G,1148,A,,A,,2
153977,R,25289,A,,R,14,G,843,G,1,G,843,G,1,A,,2
154004,R,33013,A,,R,13316,G,1100,G,555,G,1100,G,555,A,,2
154013,R,31102,A,,R,6085,G,1037,G,254,G,1037,G,254,R,9,2
154022,R,496490,A,,R,123705,G,16550,G,5154,G,16550,G,5154,A,,2
154059,R,50592,A,,A,,G,1686,A,,G,1686,A,,A,,2
154095,R,211868,A,,R,20184,G,7062,G,841,G,7062,R,1121,A,,2
154101,R,31640,A,,R,11847,G,1055,G,494,G,1055,G,494,A,,2
154110,R,69859,A,,A,,G,2329,A,,G,2329,A,,A,,2
154129,R,34540,A,,A,,G,1151,A,,G,1151,A,,A,,2
154156,A,,A,,R,7720,A,,G,322,A,,G,322,R,1317,-2
154174,R,1898,A,,A,,G,63,A,,G,63,A,,R,2468,2
154208,A,,R,142706,A,,G,159,A,,G,159,A,,A,,1
154235,R,55859,A,,R,9973,G,1862,G,416,G,1862,G,416,R,189,2
154262,R,5171,A,,A,,G,172,A,,G,172,A,,A,,2
154332,A,,R,132378,A,,G,147,A,,G,147,A,,A,,1
154350,R,35762,A,,R,562,G,1192,G,23,G,1192,G,23,A,,2
154378,R,54074,A,,A,,G,1802,A,,G,1802,A,,A,,2
154396,R,31839,A,,A,,G,1061,A,,G,1061,A,,A,,2
154448,A,,R,131001,A,,G,146,A,,G,146,A,,A,,1
154457,A,,R,50309,A,,G,56,A,,G,56,A,,A,,1
154466,A,,R,81420,A,,G,90,A,,G,90,A,,A,,1
154493,R,53637,A,,R,13819,G,1788,G,576,G,1788,G,576,A,,2
154518,R,50019,A,,R,7205,G,1667,G,300,G,1667,R,380,A,,2
154527,R,44104,A,,R,329,G,1470,G,14,G,1470,G,14,A,,2
154536,A,,A,,R,4357,A,,G,182,A,,G,182,A,,-2
154545,A,,R,51823,A,,G,58,A,,G,58,A,,A,,1
154572,R,92788,A,,A,,G,3093,A,,G,3093,A,,A,,2
154590,R,42015,A,,R,1443,G,1401,G,60,G,1401,G,60,A,,2
154642,R,31219,A,,A,,G,1041,A,,G,1041,A,,A,,2
154688,R,34918,A,,R,7485,G,1164,G,312,G,1164,G,312,A,,2
154697,R,98317,A,,A,,G,3277,A,,G,3277,A,,A,,2
154712,R,71533,A,,R,1600,G,2384,G,67,G,2384,G,67,A,,2
154721,R,17204,A,,A,,G,573,A,,G,573,A,,A,,2
154749,R,13362,A,,A,,G,445,A,,G,445,A,,A,,2
154800,R,128920,A,,A,,G,4297,A,,G,4297,A,,A,,2
154855,R,10930,A,,R,463,G,364,G,19,G,364,G,19,A,,2
154907,R,30238,A,,A,,G,1008,A,,G,1008,A,,A,,2
154925,R,32163,A,,A,,G,1072,A,,G,1072,A,,A,,2
154934,R,30285,A,,A,,G,1010,A,,G,1010,A,,A,,2
154952,R,53591,A,,A,,G,1786,A,,G,1786,A,,A,,2
154998,R,37101,A,,A,,G,1237,A,,G,1237,A,,A,,2
155007,R,8294,A,,A,,G,276,A,,G,276,A,,A,,2
155025,R,68042,A,,R,40977,G,2268,G,1707,G,2268,G,1707,A,,2
155052,R,19873,A,,A,,G,662,A,,G,662,A,,A,,2
155061,R,208787,A,,R,41690,G,6960,G,1737,G,6960,G,1737,R,380,2
155070,R,4063,A,,R,420,G,135,G,18,G,135,G,18,A,,2
155089,R,37036,A,,R,11078,G,1235,G,462,G,1235,G,462,A,,2
155098,R,29921,A,,A,,G,997,A,,G,997,A,,A,,2
155104,R,43862,A,,A,,G,1462,A,,G,1462,A,,A,,2
155140,R,26284,A,,A,,G,876,A,,G,876,A,,A,,2
155159,A,,R,77840,A,,G,86,A,,G,86,A,,A,,1
155177,R,8701,A,,A,,G,290,A,,G,290,A,,A,,2
155186,R,43899,A,,A,,G,1463,A,,G,1463,A,,A,,2
155195,R,96741,A,,A,,G,3225,A,,G,3225,A,,A,,2
155201,R,18680,A,,A,,G,623,A,,G,623,A,,A,,2
155210,R,293972,A,,A,,G,9799,A,,G,9799,A,,A,,2
155283,R,30382,A,,A,,G,1013,A,,G,1013,A,,A,,2
155292,R,89545,A,,A,,G,2985,A,,G,2985,A,,A,,2
155308,R,4737,A,,R,54,G,158,G,2,G,158,G,2,A,,2
155317,R,576450,A,,R,87629,G,19215,G,3651,G,19215,G,3651,R,2312,2
155335,R,44887,A,,R,6739,G,1496,G,281,G,1496,G,281,R,57,2
155353,A,,R,122371,A,,G,136,A,,G,136,A,,A,,1
155399,R,411786,A,,R,66483,G,13726,G,2770,G,13726,G,2770,R,688,2
155414,R,26352,A,,R,906,G,878,G,38,G,878,G,38,A,,2
155423,R,31442,A,,A,,G,1048,A,,G,1048,A,,A,,2
155450,R,26102,A,,A,,G,870,A,,G,870,A,,A,,2
155487,R,14572,A,,A,,G,486,A,,G,486,A,,A,,2
155496,R,4155,A,,A,,G,139,A,,G,139,A,,A,,2
155511,R,23177,A,,R,2,G,773,G,0,G,773,G,0,A,,2
155520,R,32812,A,,R,6475,G,1094,G,270,G,1094,G,270,A,,2
155566,R,32270,A,,A,,G,1076,A,,G,1076,A,,A,,2
155593,R,18488,A,,A,,G,616,A,,G,616,A,,A,,2
155618,R,17477,A,,A,,G,583,A,,G,583,A,,A,,2
155627,R,25802,A,,R,2198,G,860,G,92,G,860,G,92,A,,2
155636,R,6134,A,,R,3759,G,204,G,157,G,204,G,157,A,,2
155681,R,125595,A,,R,22451,G,4187,G,935,G,4187,G,935,R,28,2
155715,R,28659,A,,A,,G,955,A,,G,955,A,,A,,2
155812,R,27742,A,,R,5041,G,925,G,210,G,925,G,210,R,197,2
155830,R,18274,A,,A,,G,609,A,,G,609,A,,A,,2
155858,R,35423,A,,A,,G,1181,A,,G,1181,A,,A,,2
155900,R,25958,A,,R,1848,G,865,G,77,G,865,G,77,A,,2
155937,R,16161,A,,R,694,G,539,G,29,G,539,G,29,A,,2
155973,R,16613,A,,R,2856,G,554,G,119,G,554,G,119,A,,2
156082,R,118567,A,,R,7317,G,3952,G,305,G,3952,G,305,R,381,2
156107,R,108448,A,,A,,G,3615,A,,G,3615,A,,A,,2
156125,R,283702,A,,R,53387,G,9457,G,2224,G,9457,G,2224,R,164,2
156134,R,51540,A,,A,,G,1718,A,,G,1718,A,,A,,2
156189,R,16013,A,,A,,G,534,A,,G,534,A,,A,,2
156213,R,40408,A,,R,4718,G,1347,G,197,G,1347,G,197,A,,2
156222,A,,A,,R,24994,A,,G,1041,A,,G,1041,A,,-2
156231,R,48987,A,,A,,G,1633,A,,G,1633,A,,A,,2
156286,R,73250,A,,R,7832,G,2442,G,326,G,2442,G,326,R,260,2
156295,R,43932,A,,A,,G,1464,A,,G,1464,A,,A,,2
156310,A,,R,270877,A,,G,301,A,,G,301,A,,A,,1
156338,R,87503,A,,A,,G,2917,A,,G,2917,A,,A,,2
156356,R,15389,A,,R,2514,G,513,G,105,G,513,G,105,A,,2
156365,R,103916,A,,R,98159,G,3464,G,4090,G,3464,G,4090,R,2090,2
156392,R,216470,A,,A,,G,7216,A,,G,7216,A,,A,,2
156408,R,38702,A,,A,,G,1290,A,,G,1290,A,,A,,2
156417,R,2868,A,,R,462,G,96,G,19,G,96,G,19,A,,2
156426,A,,R,193045,A,,G,214,A,,G,214,A,,A,,1
156471,R,139364,R,124480,R,9024,G,4784,G,376,G,4784,G,376,A,,3
156541,R,177201,A,,R,278199,G,5907,G,11592,G,5907,G,11592,R,97,2
156620,R,322168,A,,R,35127,G,10739,G,1464,G,10739,G,1464,R,237,2
156648,R,111255,A,,A,,G,3709,A,,G,3709,A,,A,,2
156727,A,,A,,R,52547,A,,G,1460,A,,G,1460,R,460,-2
156745,R,35263,A,,R,3780,G,1175,G,158,G,1175,G,158,A,,2
156754,A,,R,41788,A,,G,46,A,,G,46,A,,A,,1
156790,R,46619,A,,A,,G,1554,A,,G,1554,A,,A,,2
156842,A,,R,239515,A,,G,266,A,,G,266,A,,A,,1
156851,R,23075,A,,A,,G,769,A,,G,769,A,,A,,2
156860,R,36299,A,,A,,G,1210,A,,G,1210,A,,A,,2
156921,R,186585,A,,A,,G,6220,A,,G,6220,A,,A,,2
156967,A,,R,154496,A,,G,172,A,,G,172,A,,A,,1
157021,R,5116,A,,R,1804,G,114,G,50,G,114,G,50,A,,2
157030,R,1765,A,,A,,G,59,A,,G,59,A,,A,,2
157058,R,41541,A,,R,1759,G,1385,G,73,G,1385,G,73,R,19,2
157076,R,22166,A,,A,,G,739,A,,G,739,A,,A,,2
157085,R,674699,A,,R,112603,G,22490,G,4692,G,22490,G,4692,R,2804,2
157100,R,12557,A,,R,585,G,419,G,24,G,419,G,24,A,,2
157207,A,,A,,R,636,A,,G,27,A,,G,27,R,9,-2
157216,R,48852,A,,R,55939,G,1628,G,2331,G,1628,G,2331,A,,2
157289,R,399573,A,,R,78858,G,13319,G,3286,G,13319,G,3286,R,1718,2
157298,A,,A,,R,1825,A,,G,76,A,,G,76,A,,-2
157304,R,51579,A,,A,,G,1719,A,,G,1719,A,,A,,2
157331,R,65767,A,,A,,G,2192,A,,G,2192,A,,A,,2
157377,R,37212,A,,R,4792,G,1240,G,200,G,1240,G,200,A,,2
157386,R,157330,A,,R,8886,G,5244,G,370,G,5244,G,370,A,,2
157401,R,197203,A,,R,25568,G,6573,G,1065,G,6573,G,1065,R,38,2
157438,R,81589,A,,A,,G,2720,A,,G,2720,A,,A,,2
157447,R,238864,A,,R,72249,G,7962,G,3010,G,7962,G,3010,R,942,2
157483,R,74278,A,,A,,G,2476,A,,G,2476,A,,A,,2
157535,R,39228,A,,R,4313,G,1308,G,180,G,1308,G,180,R,817,2
157553,R,46157,A,,A,,G,1539,A,,G,1539,A,,A,,2
157614,A,,R,83186,A,,G,92,A,,G,92,A,,A,,1
157650,A,,R,179567,A,,G,200,A,,G,200,A,,A,,1
157669,A,,R,105096,A,,G,117,A,,G,117,A,,A,,1
157678,A,,R,154926,A,,G,172,A,,G,172,A,,A,,1
157711,R,102905,A,,A,,G,3430,A,,G,3430,A,,A,,2
157739,R,55391,A,,A,,G,1846,A,,G,1846,A,,A,,2
157748,R,24306,A,,R,48608,G,810,G,2025,G,810,G,2025,A,,2
157757,R,17332,A,,R,11604,G,578,G,484,G,578,G,484,R,337,2
157793,R,54724,A,,R,5823,G,1216,G,162,R,1412,R,202,R,122,2
157809,R,40895,A,,R,3009,G,1363,G,125,G,1363,G,125,A,,2
157818,R,35094,A,,A,,G,1170,A,,R,975,A,,A,,2
157863,R,21767,A,,R,8621,G,726,G,359,G,726,G,359,A,,2
157951,R,363382,A,,R,34490,G,12113,G,1437,G,12113,G,1437,R,357,2
158088,R,28385,A,,A,,G,946,A,,G,946,A,,A,,2
158246,R,7236,A,,A,,G,241,A,,G,241,A,,A,,2
158325,R,4322,A,,A,,G,144,A,,G,144,A,,A,,2
158431,R,119937,A,,A,,G,3998,A,,G,3998,A,,A,,2
158477,R,18829,A,,R,615,G,628,G,26,G,628,G,26,A,,2
158538,A,,R,43325,A,,G,48,A,,G,48,A,,A,,1
158617,R,22274,R,80750,A,,G,832,A,,G,832,A,,A,,3
158662,R,236491,A,,A,,G,7883,A,,G,7883,A,,A,,2
158778,A,,R,83100,A,,G,92,A,,R,98,A,,A,,1
158787,A,,R,75088,A,,G,83,A,,G,83,A,,A,,1
158802,R,34352,A,,R,213,G,1145,G,9,G,1145,G,9,A,,2
158884,R,50534,A,,A,,G,1684,A,,G,1684,A,,A,,2
159009,R,121772,A,,R,13963,G,4059,G,582,G,4059,G,582,A,,2
159027,A,,R,136015,A,,G,151,A,,G,151,A,,A,,1
159197,R,24000,A,,A,,G,533,A,,G,533,A,,A,,2
159328,A,,R,95610,A,,G,106,A,,G,106,A,,A,,1
159373,R,24812,A,,R,14108,G,827,G,588,G,827,G,588,R,1592,2
159382,R,132227,A,,A,,G,4408,A,,G,4408,A,,A,,2
159391,R,881586,A,,R,126246,G,29386,G,5260,G,29386,G,5260,R,1456,2
159407,R,67695,A,,A,,G,2257,A,,G,2257,A,,A,,2
159416,R,57370,A,,R,108468,G,1912,G,4520,G,1912,G,4520,A,,2
159513,A,,R,209670,A,,G,233,A,,G,233,A,,A,,1
159522,A,,R,152850,A,,G,170,A,,G,170,A,,A,,1
159531,A,,R,32266,A,,G,36,A,,G,36,A,,A,,1
159568,R,22694,A,,R,3554,G,756,G,148,G,756,G,148,A,,2
159601,A,,R,39132,A,,G,43,A,,G,43,A,,A,,1
159647,R,251893,A,,R,17090,G,5598,G,475,R,7872,R,712,R,18,2
159656,R,94085,A,,R,8637,G,3136,G,360,G,3136,G,360,R,663,2
159717,R,148454,A,,R,7375,G,4948,G,307,G,4948,G,307,R,8,2
159939,R,132102,A,,R,17531,G,4403,G,730,G,4403,G,730,A,,2
159948,R,16444,A,,R,20465,G,548,G,853,G,548,G,853,A,,2
159966,R,145651,A,,R,11213,G,4855,G,467,G,4855,G,467,A,,2
159993,R,154653,A,,R,28044,G,5155,G,1169,G,5155,G,1169,R,333,2
160010,R,23083,A,,A,,G,769,A,,G,769,A,,A,,2
160038,R,180627,A,,R,13186,G,6021,G,549,G,6021,G,549,R,103,2
160065,R,11476,A,,R,6336,G,383,G,264,G,383,G,264,A,,2
160074,R,19558,A,,R,3927,G,652,G,164,G,652,G,164,R,247,2
160126,A,,R,50350,A,,G,56,A,,G,56,A,,A,,1
160199,A,,R,48900,A,,G,54,A,,R,55,A,,A,,1
160320,A,,R,2601959,A,,G,2891,A,,G,2891,A,,A,,1
160409,R,2813,A,,A,,G,94,A,,G,94,A,,A,,2
160472,A,,R,158262,A,,G,176,A,,G,176,A,,A,,1
160481,R,48771,A,,A,,G,1626,A,,G,1626,A,,A,,2
160524,R,11408,A,,A,,G,380,A,,G,380,A,,A,,2
160579,R,72894,A,,A,,G,2430,A,,G,2430,A,,A,,2
160597,A,,R,47731,A,,G,53,A,,G,53,A,,A,,1
160612,R,295088,A,,R,20971,G,9836,G,874,G,9836,G,874,R,18,2
160621,R,170007,A,,R,15894,G,5667,G,662,G,5667,G,662,R,1030,2
160630,R,37945,A,,R,6490,G,1265,G,270,G,1265,G,270,A,,2
160649,R,59802,A,,A,,G,1993,A,,G,1993,A,,A,,2
160658,R,345404,A,,R,36777,G,11513,G,1532,G,11513,G,1532,R,18,2
160667,R,72848,A,,A,,G,2428,A,,G,2428,A,,A,,2
160755,R,282420,A,,R,55175,G,9414,G,2299,G,9414,G,2299,R,1563,2
160904,R,85947,A,,R,8727,G,2865,G,364,G,2865,G,364,R,333,2
160959,R,9953,A,,R,137,G,332,G,6,G,332,G,6,A,,2
160977,R,14134,A,,A,,G,471,A,,R,1753,A,,A,,2
160995,R,14770,A,,R,207,G,492,G,9,G,492,G,9,A,,2
161004,R,54538,A,,A,,G,1818,A,,R,1813,A,,A,,2
161022,R,6214,A,,A,,G,207,A,,G,207,A,,A,,2
161077,R,68312,A,,A,,G,2277,A,,G,2277,A,,A,,2
161086,R,76681,A,,A,,G,2556,A,,R,2396,A,,A,,2
161138,R,48707,A,,A,,G,1624,A,,G,1624,A,,A,,2
161192,R,39580,A,,A,,G,1319,A,,G,1319,A,,A,,2
161208,R,1025,A,,A,,G,34,A,,G,34,A,,A,,2
161217,R,68847,A,,R,783,G,2295,G,33,R,2293,R,34,A,,2
161226,R,32403,A,,R,4692,G,1080,G,196,G,1080,G,196,A,,2
161235,R,18505,A,,R,1121,G,617,G,47,G,617,G,47,Z,0,2
161253,R,240139,A,,R,31553,G,8005,G,1315,R,8006,R,1327,A,,2
161299,R,31397,A,,R,602,G,1047,G,25,G,1047,G,25,A,,2
161341,R,54561,A,,R,846,G,1819,G,35,G,1819,G,35,A,,2
161457,R,97156,A,,R,30546,G,3239,G,1273,R,3482,R,1450,R,1286,2
161484,R,17325,A,,A,,G,578,A,,G,578,A,,A,,2
161493,A,,R,98149,A,,G,109,A,,G,109,A,,A,,1
161509,R,11742,A,,R,1537,G,391,G,64,G,391,G,64,A,,2
161518,R,30462,A,,R,8262,G,1015,G,344,G,1015,G,344,A,,2
161527,A,,R,179455,A,,G,199,A,,G,199,A,,A,,1
161545,R,135886,A,,A,,G,4530,A,,G,4530,A,,A,,2
161554,R,123290,A,,R,28433,G,4110,G,1185,G,4110,R,1580,R,258,2
161563,R,25780,A,,R,2529,G,859,G,105,R,1016,R,114,A,,2
161572,R,107621,A,,R,11859,G,3587,G,494,R,4484,R,791,A,,2
161581,R,13167,A,,A,,G,439,A,,G,439,A,,A,,2
161688,R,49394,A,,A,,G,1646,A,,G,1646,A,,A,,2
161767,R,192672,A,,A,,G,6422,A,,G,6422,A,,A,,2
161800,A,,R,91350,A,,G,102,A,,G,102,A,,A,,1
161855,A,,R,31500,A,,G,35,A,,G,35,A,,A,,1
161864,R,71866,A,,A,,G,2396,A,,G,2396,A,,A,,2
161873,R,27086,A,,R,14147,G,903,G,589,G,903,G,589,R,800,2
162007,R,132348,A,,R,15573,G,4412,G,649,G,4412,G,649,A,,2
162061,R,7223,A,,R,12253,G,241,G,511,G,241,G,511,A,,2
162104,R,32336,A,,A,,G,1078,A,,G,1078,A,,A,,2
162122,R,98764,A,,A,,G,3292,A,,G,3292,A,,A,,2
162168,R,32236,A,,A,,G,1075,A,,G,1075,A,,A,,2
162210,R,14908,A,,R,1602,G,497,G,67,G,497,G,67,A,,2
162283,R,50661,A,,R,3270,G,1689,G,136,G,1689,G,136,R,22,2
162335,A,,R,42000,A,,G,47,A,,G,47,A,,A,,1
162371,R,565,R,533000,A,,G,611,A,,G,611,A,,A,,3
162557,R,109410,A,,A,,G,3647,A,,G,3647,A,,A,,2
162584,R,85554,A,,R,14269,G,2852,G,595,G,2852,G,595,A,,2
162609,R,13442,A,,A,,G,448,A,,G,448,A,,A,,2
162654,R,27440,A,,R,7472,G,915,G,311,G,915,G,311,A,,2
162690,R,90018,A,,A,,G,3001,A,,G,3001,A,,A,,2
162706,R,93141,A,,A,,G,3105,A,,G,3105,A,,A,,2
162760,R,34717,A,,R,11477,G,1157,G,478,G,1157,G,478,A,,2
162779,R,163770,A,,A,,G,5459,A,,G,5459,A,,A,,2
162830,A,,R,106792,A,,G,119,A,,G,119,A,,A,,1
162928,R,199477,A,,R,517828,G,6649,G,21576,G,6649,G,21576,R,481,2
163028,R,33667,A,,A,,G,1122,A,,G,1122,A,,A,,2
163046,R,119086,A,,R,20895,G,3970,G,871,G,3970,G,871,R,52,2
163204,R,958151,A,,R,165310,G,31938,G,6888,G,31938,G,6888,R,97,2
163259,R,27052,A,,R,63392,G,902,G,2641,G,902,G,2641,R,3190,2
163268,R,284641,A,,R,51904,G,9488,G,2163,G,9488,R,2300,A,,2
163286,R,885365,A,,R,156093,G,29512,G,6504,G,29512,R,6909,R,312,2
163295,R,38002,A,,R,13672,G,1267,G,570,G,1267,R,471,A,,2
163338,R,61551,A,,R,8082,G,2052,G,337,G,2052,G,337,R,384,2
163347,R,18420,R,109800,A,,G,736,A,,G,736,A,,A,,3
163408,A,,R,65250,A,,G,73,A,,G,73,A,,A,,1
163426,R,357958,A,,A,,G,11932,A,,G,11932,A,,A,,2
163453,R,234542,A,,R,28200,G,7818,G,1175,G,7818,R,1325,Z,0,2
163462,R,56552,A,,R,13697,G,1885,G,571,G,1885,G,571,A,,2
163532,R,8762,A,,R,3506,G,292,G,146,G,292,G,146,R,6,2
163541,A,,R,200250,A,,G,223,A,,G,223,A,,A,,1
163578,R,22860,A,,R,14493,G,762,G,604,G,762,G,604,R,151,2
163657,R,202687,A,,A,,G,6756,A,,G,6756,A,,A,,2
163815,A,,R,43200,A,,G,48,A,,G,48,A,,A,,1
163851,R,183819,A,,R,12680,G,6127,G,528,G,6127,G,528,R,15,2
163912,R,51032,A,,R,402,G,1701,G,17,G,1701,G,17,A,,2
163976,R,16293,A,,R,2106,G,543,G,88,G,543,G,88,A,,2
164076,R,463520,A,,R,42010,G,15451,G,1750,G,15451,G,1750,R,140,2
164085,A,,A,,R,21229,A,,G,885,A,,R,812,R,181,-2
164155,R,155806,A,,A,,G,5194,A,,G,5194,A,,A,,2
164173,R,84588,A,,R,7938,G,2820,G,331,G,2820,G,331,R,47,2
164216,R,28891,A,,A,,G,963,A,,G,963,A,,A,,2
164270,R,53933,A,,R,15422,G,1798,G,643,G,1798,G,643,A,,2
164313,R,43112,A,,A,,G,1437,A,,G,1437,A,,A,,2
164368,R,18221,A,,R,34708,G,607,G,1446,G,607,G,1446,A,,2
164447,R,35768,A,,R,13879,G,1192,G,578,G,1192,G,578,R,210,2
164465,R,62098,A,,A,,G,2070,A,,G,2070,A,,A,,2
164492,R,25369,A,,R,6730,G,846,G,280,G,846,G,280,A,,2
164535,A,,R,41230,A,,G,46,A,,G,46,A,,A,,1
164562,R,50747,A,,R,7431,G,1692,G,310,G,1692,R,413,A,,2
164580,R,99217,A,,R,22490,G,3307,G,937,G,3307,G,937,A,,2
164599,A,,R,24437,A,,G,27,A,,G,27,A,,A,,1
164614,R,749,A,,A,,G,25,A,,G,25,A,,A,,2
164632,R,29163,A,,R,37774,G,972,G,1574,G,972,G,1574,R,96,2
164739,R,127476,A,,R,15090,G,4249,G,629,G,4249,G,629,R,34,2
164748,R,228530,A,,R,19994,G,7618,G,833,G,7618,G,833,A,,2
164775,R,25349,A,,A,,G,845,A,,G,845,A,,A,,2
164872,R,5698,A,,R,8668,G,190,G,361,R,212,R,514,A,,2
164915,A,,A,,R,1393,A,,G,58,A,,G,58,R,38,-2
164924,R,296856,A,,R,72154,G,9895,G,3006,G,9895,G,3006,R,1178,2
164988,R,694767,A,,R,292071,G,23159,G,12170,G,23159,G,12170,R,2002,2
165015,R,125850,A,,R,49032,G,4195,G,2043,G,4195,G,2043,A,,2
165024,R,225132,A,,R,24336,G,7504,G,1014,G,7504,G,1014,A,,2
165033,R,112180,A,,A,,G,3739,A,,G,3739,A,,A,,2
165060,A,,R,102085,A,,G,113,A,,G,113,A,,A,,1
165112,R,158007,A,,A,,G,5267,A,,G,5267,A,,A,,2
165167,R,12360,A,,R,22633,G,412,G,943,G,412,G,943,A,,2
165194,R,50903,A,,A,,G,1697,A,,G,1697,A,,A,,2
165255,A,,R,137687,A,,G,153,A,,G,153,A,,A,,1
165264,R,13655,A,,A,,G,455,A,,G,455,A,,A,,2
165334,R,68706,A,,R,32367,G,2290,G,1349,G,2290,G,1349,A,,2
165495,A,,A,,R,540,A,,G,23,A,,G,23,A,,-2
165529,R,52429,A,,R,4108,G,1748,G,171,G,1748,G,171,A,,2
165574,R,33974,A,,A,,G,1132,A,,G,1132,A,,A,,2
165608,A,,R,39816,A,,G,44,A,,G,44,A,,A,,1
165635,A,,R,272539,A,,G,303,A,,G,303,A,,A,,1
165644,R,10652,A,,R,1695,G,355,G,71,G,355,G,71,A,,2
165662,R,129877,A,,R,28768,G,4329,G,1199,G,4329,G,1199,A,,2
165671,R,60768,A,,R,1332,G,2026,G,56,G,2026,G,56,A,,2
165699,R,104012,A,,R,24175,G,3467,G,1007,R,3250,R,895,A,,2
165750,A,,R,77437,A,,G,86,A,,G,86,A,,A,,1
165802,R,37775,A,,R,3006,G,1259,G,125,G,1259,G,125,A,,2
165820,R,79884,A,,R,49011,G,2663,G,2042,G,2663,G,2042,A,,2
165866,R,78645,A,,R,20255,G,2622,G,844,G,2622,G,844,A,,2
165884,R,17724,A,,A,,G,591,A,,G,591,A,,A,,2
165936,R,39852,A,,R,5076,G,1328,G,212,G,1328,G,212,A,,2
165945,A,,A,,R,16164,A,,G,674,A,,G,674,A,,-2
165981,R,25356,A,,A,,G,845,A,,G,845,A,,A,,2
166018,R,21345,A,,A,,G,712,A,,G,712,A,,A,,2
166027,R,271576,A,,R,452441,G,9053,G,18852,G,9053,G,18852,R,2651,2
166045,R,1888,A,,R,1515,G,63,G,63,G,63,G,63,A,,2
166054,R,1939,A,,R,2511,G,65,G,105,G,65,G,105,A,,2
166124,R,98450,A,,A,,G,3282,A,,G,3282,A,,A,,2
166133,R,69294,A,,A,,G,2310,A,,G,2310,A,,A,,2
166391,R,34420,A,,R,8802,G,1147,G,367,G,1147,G,367,A,,2
166407,R,3929,A,,A,,G,131,A,,G,131,A,,A,,2
166452,R,34756,A,,R,29457,G,1159,G,1227,G,1159,G,1227,A,,2
166489,R,810,A,,R,5520,G,27,G,230,R,31,R,223,A,,2
166498,A,,R,57157,A,,G,64,A,,G,64,A,,A,,1
166513,R,328431,A,,R,63382,G,10948,G,2641,R,10954,R,2638,R,147,2
166629,R,756476,A,,R,118264,G,25216,G,4928,G,25216,R,6570,R,140,2
166638,R,302763,A,,R,45626,G,10092,G,1901,G,10092,G,1901,R,42,2
166647,R,83351,A,,A,,G,2778,A,,G,2778,A,,A,,2
166656,R,130540,A,,R,63031,G,4351,G,2626,G,4351,G,2626,R,1881,2
166674,R,51155,A,,R,3051,G,1705,G,127,G,1705,G,127,A,,2
166683,R,142673,A,,R,234566,G,4756,G,9774,R,4687,R,7943,A,,2
166692,R,40334,A,,R,1449,G,1344,G,60,G,1344,G,60,A,,2
166708,A,,A,,R,8626,A,,G,359,A,,R,437,R,930,-2
166717,R,1034,A,,R,7292,G,34,G,304,G,34,G,304,R,553,2
166805,A,,R,75861,A,,G,84,A,,G,84,A,,A,,1
166823,R,99751,A,,A,,G,3325,A,,G,3325,A,,A,,2
166850,R,134472,A,,R,36183,G,4482,G,1508,G,4482,G,1508,A,,2
166869,R,9922,A,,R,17695,G,331,G,737,G,331,G,737,R,611,2
166887,R,117331,A,,A,,G,3911,A,,G,3911,A,,A,,2
166911,R,9047,A,,A,,G,302,A,,G,302,A,,A,,2
166939,R,70477,A,,R,2607,G,2349,G,109,R,2202,G,109,A,,2
166957,R,64702,A,,A,,G,2157,A,,G,2157,A,,A,,2
167039,A,,R,13325,A,,G,15,A,,G,15,A,,A,,1
167057,R,9921,A,,R,6394,G,331,G,266,G,331,G,266,A,,2
167093,A,,A,,R,197,A,,G,8,A,,G,8,R,538,-2
